exercise_name,exercise_url,body_part,Target,Synergists,Dynamic Stabilizers,Stabilizers,Antagonist Stabilizers
Smith Bent-over Row,https://exrx.net/WeightExercises/BackGeneral/SMBentOverRow,Back,"Back, General","Trapezius, Middle; Trapezius, Lower; Rhomboids; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Brachialis; Brachioradialis; Pectoralis Major, Sternal","Biceps Brachii; Triceps, Long Head",Erector Spinae; Hamstrings; Gluteus Maximus; Adductor Magnus; Quadriceps,Rectus Abdominis; Obliques
Weighted Inverted Row,https://exrx.net/WeightExercises/BackGeneral/WTSupineRow,Back,"Back, General","Trapezius, Middle; Trapezius, Lower; Rhomboids; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Brachialis; Brachioradialis; Pectoralis        Major, Sternal","Biceps Brachii; Triceps, Long        Head",Erector Spinae; Gluteus Maximus; Hamstrings,Rectus Abdominis; Obliques
Inverted Row,https://exrx.net/WeightExercises/BackGeneral/BWSupineRow,Back,,,,,
Inverted Row (feet elevated),https://exrx.net/WeightExercises/BackGeneral/BWSupineRowFeetElevated,Back,"Back, General","Trapezius, Middle; Trapezius, Lower; Rhomboids; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Brachialis; Brachioradialis; Pectoralis Major, Sternal","Biceps Brachii; Triceps, Long Head",Erector Spinae; Hamstrings; Gluteus Maximus,Rectus Abdominis; Obliques
Row (high bar),https://exrx.net/WeightExercises/BackGeneral/BWSupineRowHigh,Back,"Back, General","Trapezius, Middle; Trapezius, Lower; Rhomboids; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Brachialis; Brachioradialis; Pectoralis Major, Sternal","Biceps Brachii; Triceps, Long Head",Erector Spinae; Hamstrings; Gluteus Maximus,Rectus Abdominis; Obliques
Suspended Inverted Row,https://exrx.net/WeightExercises/BackGeneral/STInvertedRow,Back,"Back, General","Trapezius, Middle; Trapezius, Lower; Rhomboids; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Brachialis; Brachioradialis; Pectoralis        Major, Sternal","Biceps Brachii; Triceps, Long        Head",Erector Spinae; Gluteus Maximus; Hamstrings,Rectus Abdominis; Obliques
Suspended Row,https://exrx.net/WeightExercises/BackGeneral/STRow,Back,"Back, General","Trapezius, Middle; Trapezius, Lower; Rhomboids; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Brachialis; Brachioradialis; Pectoralis Major, Sternal","Biceps Brachii; Triceps, Long Head",Erector Spinae; Gluteus Maximus; Hamstrings,Rectus Abdominis; Obliques
Suspended One Arm Row,https://exrx.net/WeightExercises/BackGeneral/STOneArmRow,Back,"Back, General","Trapezius, Middle; Trapezius, Lower; Rhomboids; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Brachialis; Brachioradialis; Pectoralis        Major, Sternal","Biceps Brachii; Triceps, Long        Head",Erector Spinae; Gluteus Maximus; Hamstrings,Rectus Abdominis; Obliques
Biceps Row (high bar),https://exrx.net/WeightExercises/BackGeneral/BWUnderhandSupineRowHigh,Back,Biceps Brachii,"Trapezius, Middle; Trapezius, Lower; Rhomboids; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Brachialis; Brachioradialis; Pectoralis Major, Sternal","Triceps, Long Head",Erector Spinae; Hamstrings; Gluteus Maximus,Rectus Abdominis; Obliques
Machine-assisted Chin-up,https://exrx.net/WeightExercises/LatissimusDorsi/AsUnderhandChinup,Back,Latissimus Dorsi,"Brachialis; Brachioradialis; Teres Major; Deltoid, Posterior; Rhomboids; Levator Scapulae; Trapezius, Lower; Trapezius, Middle; Pectoralis Major, Sternal; Pectoralis Minor","Biceps Brachii; Triceps, Long Head",,
